FX 76-120
 1.00000     0.00000
 0.99505     0.00101
 0.98756     0.00211
 0.97896     0.00311
 0.96878     0.00447
 0.95666     0.00599
 0.94276     0.00775
 0.92755     0.00970
 0.91151     0.01177
 0.89502     0.01389
 0.87835     0.01602
 0.86161     0.01813
 0.84487     0.02022
 0.82818     0.02225
 0.81150     0.02422
 0.79479     0.02615
 0.77806     0.02803
 0.76134     0.02986
 0.74462     0.03165
 0.72787     0.03338
 0.71111     0.03508
 0.69437     0.03673
 0.67764     0.03832
 0.66090     0.03986
 0.64412     0.04136
 0.62733     0.04282
 0.61052     0.04423
 0.59370     0.04561
 0.57690     0.04695
 0.56012     0.04824
 0.54338     0.04948
 0.52667     0.05066
 0.50999     0.05177
 0.49332     0.05282
 0.47663     0.05380
 0.45989     0.05472
 0.44315     0.05559
 0.42641     0.05641
 0.40970     0.05717
 0.39302     0.05787
 0.37641     0.05849
 0.35985     0.05903
 0.34333     0.05948
 0.32683     0.05984
 0.31034     0.06011
 0.29390     0.06028
 0.27753     0.06035
 0.26124     0.06031
 0.24504     0.06015
 0.22898     0.05985
 0.21308     0.05940
 0.19730     0.05879
 0.18174     0.05800
 0.16646     0.05702
 0.15149     0.05582
 0.13689     0.05437
 0.12274     0.05267
 0.10907     0.05069
 0.09597     0.04844
 0.08360     0.04597
 0.07211     0.04331
 0.06167     0.04055
 0.05241     0.03779
 0.04432     0.03507
 0.03734     0.03245
 0.03134     0.02994
 0.02620     0.02754
 0.02177     0.02524
 0.01796     0.02303
 0.01466     0.02087
 0.01179     0.01875
 0.00931     0.01667
 0.00717     0.01463
 0.00535     0.01261
 0.00380     0.01061
 0.00250     0.00860
 0.00149     0.00661
 0.00074     0.00465
 0.00026     0.00275
 0.00003     0.00091
 0.00003    -0.00091
 0.00026    -0.00275
 0.00074    -0.00465
 0.00149    -0.00661
 0.00250    -0.00860
 0.00380    -0.01061
 0.00535    -0.01261
 0.00717    -0.01463
 0.00931    -0.01667
 0.01179    -0.01875
 0.01466    -0.02087
 0.01796    -0.02303
 0.02177    -0.02524
 0.02620    -0.02754
 0.03134    -0.02994
 0.03734    -0.03245
 0.04432    -0.03507
 0.05241    -0.03779
 0.06167    -0.04055
 0.07211    -0.04331
 0.08360    -0.04597
 0.09597    -0.04844
 0.10907    -0.05069
 0.12274    -0.05267
 0.13689    -0.05437
 0.15149    -0.05582
 0.16646    -0.05702
 0.18174    -0.05800
 0.19730    -0.05879
 0.21308    -0.05940
 0.22898    -0.05985
 0.24504    -0.06015
 0.26124    -0.06031
 0.27753    -0.06035
 0.29390    -0.06028
 0.31034    -0.06011
 0.32683    -0.05984
 0.34333    -0.05948
 0.35985    -0.05903
 0.37641    -0.05849
 0.39302    -0.05787
 0.40970    -0.05717
 0.42641    -0.05641
 0.44315    -0.05559
 0.45989    -0.05472
 0.47663    -0.05380
 0.49332    -0.05282
 0.50999    -0.05177
 0.52667    -0.05066
 0.54338    -0.04948
 0.56012    -0.04824
 0.57690    -0.04695
 0.59370    -0.04561
 0.61052    -0.04423
 0.62733    -0.04282
 0.64412    -0.04136
 0.66090    -0.03986
 0.67764    -0.03832
 0.69437    -0.03673
 0.71111    -0.03508
 0.72787    -0.03338
 0.74462    -0.03165
 0.76134    -0.02986
 0.77806    -0.02803
 0.79479    -0.02615
 0.81150    -0.02422
 0.82818    -0.02225
 0.84487    -0.02022
 0.86161    -0.01813
 0.87835    -0.01602
 0.89502    -0.01389
 0.91151    -0.01177
 0.92755    -0.00970
 0.94276    -0.00775
 0.95666    -0.00599
 0.96878    -0.00447
 0.97896    -0.00311
 0.98756    -0.00211
 0.99505    -0.00101
 1.00000     0.00000
